Day,January,February,March,April,May,June,July,August,September,October,November,December
1,120,84,106,,,,,,,,,
2,141,118,87,,,,,,,,,
3,181,180,99,,,,,,,,,
4,231,132,96,,,,,,,,,
5,201,159,112,,,,,,,,,
6,179,124,116,,,,,,,,,
7,179,124,120,,,,,,,,,
8,162,141,126,,,,,,,,,
9,110,139,90,,,,,,,,,
10,188,158,99,,,,,,,,,
11,223,98,93,,,,,,,,,
12,241,97,91,,,,,,,,,
13,220,100,84,,,,,,,,,
14,232,144,81,,,,,,,,,
15,192,152,73,,,,,,,,,
16,147,122,65,,,,,,,,,
17,153,88,71,,,,,,,,,
18,153,68,76,,,,,,,,,
19,160,90,118,,,,,,,,,
20,147,75,67,,,,,,,,,
21,175,69,92,,,,,,,,,
22,169,85,51,,,,,,,,,
23,205,90,75,,,,,,,,,
24,181,106,114,,,,,,,,,
25,188,121,135,,,,,,,,,
26,162,129,91,,,,,,,,,
27,167,161,76,,,,,,,,,
28,189,129,103,,,,,,,,,
29,123,,128,,,,,,,,,
30,106,,109,,,,,,,,,
31,96,,78,,,,,,,,,
 ,,,,,,,,,,,,
Good,,,,,,,,,,,,
Satisfactory,1,11,20,,,,,,,,,
Moderate,23,17,11,,,,,,,,,
Poor,7,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,,,,,,,,
