Date,January,February,March,April,May,June,July,August,September,October,November,December
01,260,148,202,137,49,38,44,33,56,43,53,265
02,249,168,217,101,44,43,41,43,45,41,40,289
03,166,156,190,109,56,49,40,79,37,38,134,304
04,78,176,102,146,48,42,27,66,45,46,248,322
05,178,242,74,95,47,33,30,39,47,42,243,280
06,209,150,80,82,52,49,34,36,44,40,238,260
07,206,182,59,91,51,57,36,51,39,40,221,203
08,255,180,78,75,53,47,54,54,34,48,248,292
09,177,239,138,91,65,46,51,42,57,72,158,326
10,172,182,167,68,56,37,40,33,47,100,120,310
11,152,227,124,61,68,26,41,48,36,73,100,251
12,188,228,118,57,100,31,49,49,26,74,104,310
13,178,233,108,56,57,33,40,33,36,84,115,282
14,270,243,141,53,47,30,50,32,31,43,148,306
15,326,168,85,53,37,31,28,42,35,38,187,244
16,321,220,108,67,42,37,29,46,39,62,181,229
17,252,220,147,53,44,39,27,35,48,112,222,258
18,191,194,173,40,36,40,40,46,43,120,266,222
19,181,187,216,62,27,44,36,33,53,61,149,203
20,132,150,123,40,29,42,34,34,56,125,130,282
21,177,184,128,49,33,34,44,34,33,48,190,321
22,232,240,76,50,44,39,40,49,39,31,233,355
23,252,221,108,32,58,43,44,50,34,32,173,336
24,226,206,81,34,50,51,39,52,41,42,219,271
25,148,213,97,51,47,45,47,60,48,66,205,275
26,222,91,86,56,46,36,51,38,49,152,214,285
27,214,71,116,36,40,30,56,31,72,144,186,285
28,275,158,102,39,42,30,68,42,92,178,129,301
29,145,,102,49,51,37,45,56,69,145,228,347
30,106,,112,48,47,41,35,54,47,102,210,321
31,173,,112,,50,,33,60,,114,,274
