Date,January,February,March,April,May,June,July,August,September,October,November,December
01,,,,,,82,54,64,59,163,53,300
02,,,,,,75,56,59,61,119,67,295
03,,,,,76,,54,83,54,103,71,290
04,,,,,64,,61,77,86,159,75,345
05,,,,,54,91,62,72,61,208,57,380
06,,,,,56,91,71,69,52,207,73,381
07,,,,,60,92,49,59,55,233,326,406
08,,,,,61,97,30,56,62,228,354,391
09,,,,,66,95,31,61,49,108,336,400
10,,,,,62,102,45,62,55,71,340,356
11,,,,54,57,107,40,59,61,103,282,342
12,,,,,66,97,36,57,72,91,266,340
13,,,,65,53,,38,61,93,58,308,293
14,,,,69,62,86,37,58,106,48,348,280
15,,,,91,84,98,23,57,103,90,344,296
16,,,,76,55,156,23,58,123,93,308,246
17,,,,56,59,108,39,63,112,186,274,274
18,,,,56,60,159,34,58,112,142,310,162
19,,,,60,,122,36,71,116,190,279,129
20,,,,57,89,72,44,60,62,220,318,244
21,,,,60,67,74,33,62,50,229,322,332
22,,,,52,105,50,32,,56,212,341,379
23,,,,57,90,46,36,,46,245,338,364
24,,,,,92,44,53,,51,253,357,328
25,,,,68,97,49,63,61,,203,385,348
26,,,,,105,49,44,52,74,254,342,364
27,,,,68,92,52,46,57,101,249,235,384
28,,,,68,82,32,59,59,104,191,210,365
29,,,,,63,39,74,57,108,64,223,369
30,,,,,74,54,65,68,126,50,220,360
31,,,,,89,,66,70,,43,,338
