Day,January,February,March,April,May,June,July,August,September,October,November,December
1,180,102,134,106,150,56,52,54,38,85,155,85
2,204,128,140,105,90,53,45,42,38,87,242,104
3,166,140,119,111,91,63,41,42,45,100,178,191
4,161,176,123,79,84,60,44,45,49,73,159,201
5,241,156,96,68,64,68,50,47,50,69,150,260
6,213,131,106,95,70,76,50,50,47,68,110,159
7,234,148,114,72,56,71,39,43,57,54,102,129
8,259,111,129,73,48,61,41,40,66,47,102,142
9,250,107,134,80,41,63,40,43,40,50,96,167
10,244,136,134,120,50,63,43,45,43,42,87,169
11,239,211,117,148,43,51,49,53,48,48,90,161
12,204,228,98,96,53,50,51,59,66,45,100,175
13,252,221,88,106,55,55,46,49,82,59,103,165
14,272,222,66,100,58,61,50,61,52,134,204,185
15,278,187,85,96,60,72,34,73,46,177,222,157
16,264,147,70,76,50,61,33,50,47,142,172,190
17,227,225,66,95,49,59,37,63,56,83,202,207
18,202,165,87,98,57,65,35,50,52,66,178,191
19,175,97,96,108,58,63,34,45,87,53,178,153
20,230,91,59,92,41,47,33,63,106,87,173,174
21,289,84,56,96,42,42,35,58,88,120,151,136
22,281,119,81,97,35,40,35,62,68,100,164,81
23,259,106,99,96,46,35,33,56,95,89,213,120
24,256,99,71,93,56,38,40,43,46,43,220,126
25,216,100,66,119,53,46,54,54,37,44,208,138
26,262,86,59,82,42,41,55,82,36,55,262,150
27,213,127,60,111,26,32,42,35,34,71,224,144
28,206,127,71,90,54,32,42,37,42,69,124,178
29,209,155,82,128,75,35,40,37,44,78,93,196
30,187,,68,110,72,42,47,46,58,70,104,159
31,100,,76,,53,,52,35,,57,,124
 ,,,,,,,,,,,,
Good,,,,,12,12,26,19,17,7,,
Satisfactory,1,6,21,19,18,18,5,12,12,20,5,2
Moderate,5,18,10,11,1,,,,1,4,16,26
Poor,25,5,,,,,,,,,9,3
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
