Day,January,February,March,April,May,June,July,August,September,October,November,December
1,198,105,174,70,71,91,52,52,38,98,115,189
2,183,141,155,65,60,74,46,63,37,55,105,230
3,211,102,198,57,61,78,43,57,40,45,104,262
4,243,70,231,60,59,86,42,41,61,36,176,278
5,290,64,180,55,68,76,36,36,59,40,196,264
6,268,132,171,60,103,70,32,37,57,35,152,232
7,280,108,149,65,83,73,36,34,73,39,140,270
8,228,144,188,69,83,71,37,30,47,55,152,295
9,225,186,202,53,56,78,35,32,59,43,158,282
10,209,119,222,49,46,69,39,32,44,42,167,280
11,242,214,198,53,53,70,35,32,38,31,137,282
12,88,143,193,70,68,66,33,44,35,34,214,307
13,132,132,183,52,77,62,,52,37,47,233,314
14,142,149,182,54,62,95,35,32,39,58,205,305
15,123,191,198,93,52,55,35,33,43,76,223,271
16,161,201,125,71,57,62,37,52,53,78,237,201
17,180,220,107,68,55,49,34,69,56,87,271,251
18,226,232,96,63,51,44,36,89,48,101,229,303
19,267,219,96,63,47,39,45,46,46,83,131,283
20,266,164,88,58,57,39,51,38,33,107,186,283
21,306,137,79,57,61,58,49,44,37,112,150,295
22,245,128,78,81,71,51,42,54,42,99,165,300
23,192,165,82,102,96,43,41,63,48,101,250,274
24,206,141,95,122,75,43,40,42,50,55,238,278
25,208,105,89,85,82,45,37,44,43,47,238,194
26,194,243,69,81,87,33,43,57,42,81,252,85
27,185,212,85,74,121,35,40,65,50,107,241,97
28,160,104,108,75,130,40,40,56,73,167,234,215
29,210,,89,75,91,43,45,44,87,157,179,217
30,246,,74,122,83,42,47,43,79,126,182,252
31,183,,64,,76,,49,44,,102,,284
 ,,,,,,,,,,,,
Good,,,,1,2,12,28,19,20,11,,
Satisfactory,1,2,13,26,26,18,2,12,10,11,,2
Moderate,12,19,15,3,3,,,,,9,17,2
Poor,17,7,3,,,,,,,,13,23
Very poor,1,,,,,,,,,,,4
Severe,,,,,,,,,,,,
,,,,,,,1,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,96,100,100,100,100,100
