Day,January,February,March,April,May,June,July,August,September,October,November,December
1,267,281,120,171,101,52,54,56,42,45,168,180
2,297,285,148,133,77,50,49,62,45,48,192,210
3,332,286,157,113,110,49,50,69,50,48,154,202
4,302,301,231,114,65,51,56,95,54,64,194,177
5,241,271,148,115,71,68,52,60,55,53,207,108
6,284,277,150,104,66,64,97,80,32,68,156,32
7,304,125,188,90,60,50,78,63,38,66,168,41
8,261,170,133,90,70,45,44,49,36,98,146,93
9,173,228,84,84,49,54,67,53,40,141,144,110
10,212,258,65,99,53,61,67,67,71,133,164,98
11,207,239,68,86,42,46,44,64,43,138,144,232
12,174,203,79,101,48,46,33,68,41,172,133,196
13,215,220,149,78,58,36,33,70,33,177,102,237
14,246,203,142,76,80,39,36,70,33,90,80,255
15,263,138,158,74,56,36,38,57,36,68,65,268
16,300,209,126,96,39,45,45,38,37,46,99,284
17,327,230,194,72,37,56,47,35,49,33,153,219
18,298,256,151,64,43,39,42,38,52,29,162,258
19,341,241,223,109,40,43,44,39,73,32,157,223
20,211,247,244,73,38,57,51,36,59,36,188,155
21,295,259,201,70,41,51,114,40,36,94,214,258
22,249,261,227,76,47,60,38,47,38,122,258,246
23,274,252,222,136,57,51,32,52,44,189,229,272
24,268,194,181,150,69,53,34,68,61,192,179,302
25,290,251,212,115,41,65,56,75,121,168,151,250
26,286,174,197,102,45,55,65,70,60,183,194,253
27,284,160,166,123,49,51,62,62,47,151,212,212
28,242,134,175,86,48,48,51,45,48,104,216,234
29,268,,105,76,66,45,40,34,42,141,178,240
30,285,,106,94,64,60,33,33,40,115,168,260
31,302,,196,,101,,46,35,,140,,160
 ,,,,,,,,,,,,
Good,,,,,14,14,18,12,21,8,,2
Satisfactory,,,4,17,14,16,12,19,8,8,3,2
Moderate,2,7,20,13,3,,1,,1,15,21,7
Poor,23,20,7,,,,,,,,6,19
Very poor,6,1,,,,,,,,,,1
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
